ProductCode,BrandName,Week,Color,Target,Price,RankA,RankB,RankC,RankD,Rating,ReviewCount,Recommend,ReviewCountFromSite,ReviewCorrected_1,ReviewCorrected_2
301281814,Brand_3,2019W21,Stainless Steel,336,194,100,96,99.429,1.512,4.73,199,97,199,1,1
301281814,Brand_3,2019W22,Stainless Steel,303,194,96,91,95,1.915,4.74,200,97,200,1,1
301281814,Brand_3,2019W23,Stainless Steel,272,194,101,96,99.5,1.761,4.74,201,97,201,1,1
301281814,Brand_3,2019W24,Stainless Steel,254,194,104,100,101.286,1.604,4.74,202,97,202,1,1
301281814,Brand_3,2019W25,Stainless Steel,299,194,109,103,105.143,2.035,4.74,203,97,203,203,1
300388139,Brand_3,2019W19,Chrome,202,159,15,15,15,0,4.66,1151,93,1151,1151,10
300388139,Brand_3,2019W20,Chrome,199,159,12,12,12,0,4.65,1161,93,1161,10,10
300388139,Brand_3,2019W21,Chrome,215,159,12,12,12,0,4.65,1170,93,1170,9,9
300388139,Brand_3,2019W22,Chrome,207,159,12,12,12,0,4.65,1180,93,1180,10,10
300388139,Brand_3,2019W23,Chrome,193,159,12,12,12,0,4.65,1191,93,1191,11,11
300388139,Brand_3,2019W24,Chrome,190,159,12,12,12,0,4.65,1199,93,1199,8,8
300388139,Brand_3,2019W25,Chrome,209,159,16,12,12.857,1.574,4.65,1213,93,1213,1213,14
301643300,Brand_3,2019W19,Stainless Steel,640,138,7,7,7,0,4.47,364,93,364,364,4
301643300,Brand_3,2019W20,Stainless Steel,914,138,7,7,7,0,4.47,368,93,368,4,4
301643300,Brand_3,2019W21,Stainless Steel,1050,129,7,7,7,0,4.46,372,93,372,4,4
301643300,Brand_3,2019W22,Stainless Steel,1130,129,7,7,7,0,4.45,380,93,380,8,8
301643300,Brand_3,2019W23,Stainless Steel,1012,129,7,7,7,0,4.46,385,93,385,5,5
301643300,Brand_3,2019W24,Stainless Steel,976,129,4,4,4,0,4.47,392,93,392,7,7
301643300,Brand_3,2019W25,Stainless Steel,1114,129,4,4,4,0,4.47,401,93,401,401,9
302876896,Brand_3,2019W19,Stainless Steel,352,298,37,32,34.857,2.673,4.15,259,86,259,259,5
